Credit Amount,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
629,1,4,18,4,3,3,5,4,3,1,3,2,32,1,2,2,4,1,2,1
1750,1,4,6,1,3,3,5,2,3,1,4,2,45,1,2,1,2,2,1,1
3488,1,4,24,2,1,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1
1800,1,4,18,4,3,1,3,4,3,1,2,3,24,3,2,2,3,1,1,1
4151,1,4,24,3,2,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1
2631,1,2,15,2,5,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1
5248,1,4,21,2,1,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1
2899,1,2,18,3,0,5,5,4,3,1,4,3,43,3,2,1,3,2,1,1
6204,1,2,18,3,5,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1
804,1,4,12,2,3,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1
3595,1,4,36,2,3,1,5,4,3,1,2,3,28,3,2,1,3,1,1,1
5711,1,4,36,4,1,4,5,4,3,1,2,3,38,3,2,2,4,1,2,1
2687,1,3,15,2,9,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1
3643,1,1,15,3,2,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1
2146,1,4,10,4,2,1,2,1,2,1,3,1,23,3,1,2,3,1,1,1
2315,1,1,10,2,3,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1
3448,1,4,5,2,9,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1
2708,1,4,15,2,2,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1
1393,1,4,11,4,0,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1
1275,1,3,10,2,2,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1
1313,1,4,9,2,2,1,5,1,3,1,4,3,20,3,2,1,3,1,1,1
1493,1,4,12,2,3,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1
2675,1,4,22,2,3,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1
2118,1,2,9,2,3,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1
909,1,4,36,2,0,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1
1258,1,4,12,4,2,1,2,2,2,1,4,2,22,3,1,2,2,1,1,1
1569,1,4,15,1,3,2,5,4,3,1,4,3,34,1,2,1,2,2,1,1
1236,1,4,6,2,1,3,3,2,3,1,4,2,50,3,1,1,3,1,1,1
7678,1,4,36,3,2,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1
660,1,4,6,2,5,3,4,2,4,1,4,1,23,3,1,1,2,1,1,1
2835,1,4,24,2,2,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1
2670,1,4,24,2,1,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1
3447,1,4,12,1,8,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1
3568,1,4,15,2,3,1,5,4,2,1,2,3,54,1,1,1,4,1,2,1
3652,1,2,21,4,9,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1
3660,1,1,24,2,3,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
1126,1,3,9,2,3,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1
683,1,3,6,3,3,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1
2251,1,3,12,2,2,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1
4675,1,4,12,2,1,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
2353,1,2,21,3,0,1,3,1,1,1,4,2,47,3,2,2,3,1,1,1
3357,1,1,21,2,3,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1
672,1,4,6,2,0,1,1,1,2,1,4,1,54,3,2,1,1,1,2,1
338,1,1,6,4,3,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1
2697,1,4,9,2,3,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1
2507,1,4,9,2,0,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1
1478,1,4,15,3,3,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1
3565,1,4,12,4,6,5,2,2,3,1,1,2,37,3,2,2,2,2,1,1
2221,1,4,15,2,2,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1
1898,1,4,6,4,3,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1
1449,1,2,6,3,9,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1
960,1,4,15,3,2,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1
8133,1,4,36,2,1,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1
2301,1,4,9,2,2,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1
1743,1,4,6,3,9,2,3,1,3,1,2,1,34,3,2,2,2,1,1,1
983,1,2,12,2,2,4,2,1,2,1,4,1,19,3,1,1,2,1,1,1
2320,1,4,18,3,3,1,1,2,4,1,3,1,34,3,2,2,3,1,1,1
339,1,1,12,1,8,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1
5152,1,3,24,2,3,1,4,4,3,1,2,3,25,1,2,1,3,1,1,1
3749,1,3,24,2,2,1,2,2,2,1,4,3,26,3,2,1,3,1,1,1
3074,1,4,9,4,3,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1
745,0,3,9,2,3,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1
1469,1,4,24,2,0,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1
1374,1,1,6,2,2,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1
783,1,4,6,1,0,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1
2606,1,1,21,2,3,1,2,4,2,1,4,2,28,3,1,1,4,1,2,1
9436,1,4,54,0,1,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1
930,1,4,12,4,3,5,5,4,3,1,4,1,65,3,2,4,3,1,1,1
2751,1,4,48,4,1,5,5,4,3,1,3,3,38,3,2,2,3,2,2,1
250,1,4,6,4,0,4,3,2,2,1,2,1,41,1,2,2,2,1,1,1
1201,1,2,24,2,0,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1
662,1,1,6,2,0,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1
1300,1,4,15,2,1,5,5,4,3,1,4,4,45,1,3,1,3,2,1,1
1559,1,4,24,1,9,1,4,4,3,1,4,3,40,1,2,1,3,1,2,1
3016,1,3,12,2,3,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1
1360,1,4,15,4,3,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1
1204,1,4,6,0,0,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2
1597,1,4,10,2,0,3,3,3,3,1,2,4,40,3,1,1,2,2,1,2
2073,1,4,12,2,3,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1
2142,1,4,11,2,9,4,5,1,1,1,2,1,28,3,2,1,3,1,2,1
2132,1,1,10,4,2,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2
1546,1,4,10,2,0,1,3,3,3,1,2,1,31,3,2,1,2,2,1,2
1287,1,4,24,4,0,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1
1418,1,4,10,2,0,2,3,3,3,1,2,1,35,3,1,1,2,1,1,2
1343,1,3,6,4,0,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2
2662,1,4,18,2,0,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2
6070,1,4,18,4,3,1,5,3,3,1,4,3,33,3,2,2,3,1,2,1
1927,1,4,24,4,6,5,3,3,2,1,2,3,33,3,2,2,3,1,2,1
2404,1,4,18,4,3,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1
1554,1,4,6,4,3,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1
1283,1,4,22,2,0,5,4,4,2,1,4,2,25,3,1,1,3,1,1,1
717,1,4,24,3,0,5,5,4,4,1,4,3,54,3,2,2,3,1,2,1
1747,1,1,24,2,2,1,2,4,3,2,1,2,24,3,2,1,2,1,1,2
1288,1,1,9,4,5,2,5,3,3,3,4,1,48,3,2,2,3,2,1,2
1038,1,1,10,4,0,1,4,4,3,2,3,2,49,3,2,2,3,1,2,1
2848,1,4,10,2,1,2,3,1,3,2,2,1,32,3,2,1,3,2,1,1
1413,1,4,12,2,1,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2
3077,1,4,30,4,3,5,5,3,3,1,2,3,40,3,2,2,3,2,2,1
3632,1,1,24,1,1,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2
3229,1,4,18,4,1,5,1,2,3,1,4,4,38,3,2,1,4,1,2,1
3577,1,4,9,2,0,2,3,1,3,3,2,1,26,3,1,1,3,2,1,2
682,1,4,12,4,0,2,4,4,2,1,3,3,51,3,2,2,3,1,2,1
1924,1,4,10,2,3,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2
727,1,4,10,2,6,3,5,4,3,1,4,4,46,3,3,1,3,1,2,1
781,1,3,10,4,0,1,5,4,3,1,4,4,63,3,3,2,3,1,2,1
2121,1,1,12,4,0,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1
701,1,4,12,4,6,1,3,4,3,1,2,3,32,3,2,2,3,1,1,1
2069,1,4,10,4,2,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2
1525,1,4,24,2,0,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1
7629,1,4,48,4,9,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1
3499,0,1,12,4,0,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1
1346,1,4,6,2,3,2,5,2,3,1,4,4,42,1,3,1,3,2,2,1
10477,1,4,36,4,1,5,5,2,3,1,4,4,42,3,3,2,3,1,1,1
2924,1,1,24,2,1,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1
1231,1,4,10,4,0,1,5,3,3,1,4,1,32,3,2,2,2,2,1,2
1961,1,3,18,2,0,1,5,3,2,1,2,3,23,3,2,1,4,1,1,1
5045,1,4,15,4,0,5,5,1,2,1,4,3,59,3,2,1,3,1,2,1
1255,1,4,12,4,0,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1
1858,1,1,12,2,2,1,2,4,2,1,1,3,22,3,1,1,3,1,1,1
1221,1,4,6,4,2,5,3,1,4,1,2,2,27,3,2,2,3,1,1,1
1388,1,4,9,2,2,1,3,4,2,1,2,1,26,3,1,1,3,1,1,1
2279,1,4,12,2,3,5,3,4,3,1,4,4,37,3,3,1,3,1,2,1
2759,1,4,12,0,2,1,5,2,3,1,4,2,34,3,2,2,3,1,1,1
1258,1,3,24,2,3,3,3,3,2,1,3,3,57,3,2,1,2,1,1,1
1410,1,2,12,0,8,1,3,2,3,1,2,1,31,3,2,1,2,1,2,1
1403,1,1,15,2,0,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1
3021,1,1,24,2,2,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1
6568,1,1,24,2,9,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1
2578,1,4,24,4,3,4,5,2,3,1,2,3,34,3,2,1,3,1,1,1
7758,1,2,24,4,1,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1
343,1,1,6,2,4,1,2,4,2,1,1,1,27,3,2,1,3,1,1,1
1591,1,4,21,3,2,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1
3416,1,1,27,2,3,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1
1108,0,1,12,0,5,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1
5965,1,2,27,3,1,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1
1514,1,2,15,2,5,2,3,4,3,3,2,1,22,3,2,1,3,1,1,1
6742,1,4,30,4,3,5,4,2,3,1,3,2,36,3,2,2,3,1,1,1
3650,1,1,18,2,2,1,2,1,2,1,4,3,22,3,1,1,3,1,1,1
3599,1,1,21,2,2,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1
13756,1,4,60,4,0,5,5,2,3,1,4,4,63,1,3,1,4,1,2,1
276,1,2,9,2,0,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1
4041,1,4,42,4,2,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1
458,1,2,9,2,3,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1
918,0,2,9,2,2,1,3,4,2,1,1,2,30,3,2,1,3,1,1,1
7393,1,4,24,2,0,1,3,1,3,1,4,2,43,3,2,1,2,2,1,1
1225,1,3,10,2,4,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1
2812,1,1,24,2,1,5,5,2,2,1,4,1,26,3,1,1,3,1,1,1
3029,1,4,15,2,1,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1
1480,1,3,12,4,0,3,1,2,3,1,4,4,66,1,3,3,1,1,1,1
1047,1,3,6,4,6,1,3,2,2,1,4,2,50,3,2,1,2,1,1,1
1471,1,4,15,4,3,1,3,4,3,1,4,4,35,3,3,2,3,1,2,1
5511,1,4,24,2,2,2,3,4,3,1,1,3,25,2,2,1,3,1,1,1
1206,1,2,9,2,3,1,5,4,2,1,4,1,25,3,2,1,3,1,1,1
6403,1,2,24,3,3,1,2,1,3,1,2,3,33,3,2,1,3,1,1,1
707,1,4,12,2,3,1,3,4,3,1,2,1,30,1,2,2,3,1,1,1
1503,1,4,12,3,1,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1
6078,1,2,12,2,0,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1
2528,1,2,27,2,9,1,2,4,2,1,1,2,32,3,2,1,3,2,2,1
1037,1,2,12,2,9,2,4,3,3,1,4,1,39,3,2,1,2,1,1,1
1352,1,1,6,2,1,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1
3181,1,4,24,2,3,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1
4594,1,4,18,2,3,1,2,3,3,1,2,3,32,3,2,1,3,1,2,1
5381,1,2,48,2,10,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1
4657,1,4,15,2,1,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1
1391,1,2,9,2,9,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1
1913,1,2,18,2,9,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1
7166,1,4,42,2,3,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1
1409,1,4,13,2,3,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1
2978,1,4,24,3,9,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1
976,1,4,12,4,3,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1
2375,1,4,24,3,9,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1
522,1,4,12,4,3,3,5,4,3,1,4,2,42,3,2,2,3,2,2,1
2743,1,4,28,4,3,1,5,4,3,1,2,3,29,3,2,2,3,1,1,1
1154,1,4,11,4,3,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1
5804,1,4,24,4,1,4,3,4,3,1,2,1,27,3,2,2,3,1,1,1
1169,1,4,18,4,3,5,3,4,3,1,3,2,29,3,2,2,3,1,2,1
1478,1,1,15,4,2,1,5,4,3,1,4,3,44,3,2,2,3,2,2,1
776,1,4,12,2,3,1,3,4,4,1,2,1,28,3,2,1,3,1,1,1
1322,1,2,11,4,0,4,3,4,2,1,4,3,40,3,2,2,3,1,1,1
1175,1,2,16,4,0,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1
2133,1,4,12,2,0,5,5,4,2,1,4,4,52,3,3,1,4,1,2,1
1829,1,4,15,4,3,1,5,4,3,1,4,3,46,3,2,2,3,1,2,1
717,1,4,12,4,3,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1
11760,1,2,39,3,6,2,4,2,3,1,3,4,32,3,1,1,3,1,2,1
1501,0,2,9,4,6,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
1200,1,1,12,2,6,5,3,4,2,1,4,2,23,1,1,1,3,1,2,1
3195,1,2,9,2,0,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1
4530,1,4,30,4,3,1,4,4,2,1,4,3,26,3,1,1,4,1,2,1
1555,0,4,12,3,5,4,5,4,3,1,4,4,55,3,3,2,3,2,1,1
2326,1,2,15,4,9,3,3,2,3,1,4,3,27,1,2,1,3,1,1,1
1887,1,2,18,4,9,5,3,4,4,1,4,1,28,1,2,2,3,1,1,1
1264,1,4,12,4,9,5,5,4,3,1,4,4,57,3,1,1,2,1,1,1
846,1,4,7,3,3,5,5,3,3,1,4,4,36,3,3,1,3,1,1,1
1532,1,4,15,4,6,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1
935,1,4,6,3,3,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1
2442,1,1,27,4,9,1,5,4,3,1,4,3,43,2,2,4,4,2,2,1
3590,1,2,18,4,9,1,1,3,4,1,3,3,40,3,2,3,1,2,2,1
2288,1,4,21,4,2,1,2,4,2,1,4,2,23,3,2,1,3,1,2,1
5117,1,4,27,3,9,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1
14179,1,1,39,4,2,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1
1386,1,4,15,2,3,5,3,4,4,1,2,1,40,3,1,1,3,1,2,1
618,1,4,12,4,3,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1
1574,1,4,12,2,2,1,3,4,3,1,2,1,50,3,2,1,3,1,1,1
700,1,4,6,4,3,5,5,4,3,1,4,4,36,3,3,2,3,1,1,1
886,1,4,12,2,3,5,3,4,2,1,2,3,21,3,2,1,3,1,1,1
4686,1,4,36,2,1,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1
790,1,2,9,2,3,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1
766,0,2,12,2,3,3,3,4,3,1,3,1,66,3,2,1,2,1,1,1
2212,1,1,20,2,2,5,4,4,3,1,4,3,39,3,2,1,3,1,2,1
7308,1,2,10,2,0,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1
5743,1,2,24,4,6,1,2,2,2,1,4,4,24,3,3,2,3,1,2,1
3973,1,1,14,2,0,1,1,1,3,1,4,4,22,3,3,1,3,1,1,1
7418,1,2,60,3,3,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1
2629,1,2,20,3,10,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1
1941,1,2,18,2,9,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1
2333,1,2,24,3,2,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1
2445,1,4,12,2,1,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1
6468,1,2,20,2,1,5,1,1,1,1,4,1,60,3,2,1,4,1,2,1
7374,1,2,18,4,2,1,1,4,3,1,4,2,40,2,2,2,4,1,2,1
3812,1,4,15,2,1,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1
4006,0,1,28,2,0,1,3,3,3,1,2,3,45,3,2,1,2,1,1,1
7472,1,2,12,2,0,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1
1424,1,3,12,2,2,5,5,3,2,1,4,1,55,3,2,1,4,1,2,1
2028,1,2,12,2,1,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1
5324,1,4,15,2,0,3,5,1,2,1,4,4,35,3,3,1,3,1,1,1
2323,1,2,36,2,3,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1
1393,1,4,12,2,6,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
1984,1,4,18,2,2,1,3,4,3,1,4,4,47,1,3,2,3,1,1,1
999,1,4,24,2,3,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1
7409,1,4,36,2,9,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1
2186,1,4,15,2,2,5,4,1,2,1,4,1,33,1,1,1,2,1,1,1
4473,1,3,36,2,3,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1
937,1,4,24,2,8,1,2,4,4,1,3,3,27,3,2,2,2,1,1,1
3422,1,4,18,2,2,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
3105,1,4,24,2,3,5,2,4,3,1,2,3,25,3,2,2,3,1,1,1
2748,1,4,12,4,6,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1
3872,1,2,18,2,5,1,1,2,2,1,4,3,67,3,2,1,3,1,2,1
5190,1,4,27,2,5,5,5,4,3,1,4,2,48,3,2,4,3,2,2,1
3001,1,2,18,2,2,1,4,2,2,1,4,1,40,3,1,1,3,1,1,1
3863,1,4,24,3,9,1,3,1,3,1,2,4,32,3,3,1,3,1,1,1
5801,1,4,12,4,2,5,5,2,3,1,4,2,49,3,1,1,3,1,2,2
1592,1,4,12,4,2,4,4,3,2,1,2,2,35,3,2,1,3,1,1,1
1185,1,4,12,4,9,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1
3780,1,4,18,4,2,1,2,3,1,1,2,3,35,3,2,2,4,1,2,1
3612,1,2,18,4,2,1,5,3,2,1,4,2,37,3,2,1,3,1,2,2
1076,1,4,12,2,9,1,3,2,4,1,2,1,26,3,2,1,3,1,2,1
3527,1,4,12,2,0,5,2,2,3,1,3,2,45,3,2,1,4,2,2,1
2051,1,4,18,2,3,1,2,4,3,1,1,1,33,3,2,1,3,1,1,1
3331,1,4,12,4,2,1,5,2,3,1,4,2,42,2,2,1,3,1,1,1
3104,1,1,18,0,9,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1
2611,1,4,24,4,3,1,5,4,4,2,3,1,46,3,2,2,3,1,1,1
1409,1,1,12,4,1,1,5,4,3,1,3,1,54,3,2,1,3,1,1,1
