Credit Amount,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
5507,1,4,24,4,5,1,5,3,3,1,4,4,44,3,3,2,3,1,1,1
1199,1,2,9,2,6,1,4,4,2,1,4,2,67,3,2,2,4,1,2,1
2892,1,3,24,2,2,1,5,3,1,1,4,4,51,3,3,1,3,1,1,1
2862,1,2,36,3,0,2,5,4,3,1,3,4,30,3,3,1,3,1,1,1
654,0,1,9,2,0,1,3,4,3,1,3,3,28,3,2,1,2,1,1,1
1136,0,2,9,4,6,4,5,4,3,1,3,4,32,3,3,2,3,2,1,1
4113,0,2,24,2,1,3,2,3,2,1,4,3,28,3,1,1,3,1,1,1
14555,0,2,6,2,0,5,1,1,3,1,2,2,23,3,2,1,1,1,2,1
950,0,1,15,0,0,1,5,4,3,1,3,3,33,3,1,2,3,2,1,1
1199,0,1,24,4,0,1,5,4,3,1,4,3,60,3,2,2,2,1,1,1
1082,0,1,12,0,0,1,3,4,3,1,4,3,48,1,2,2,3,1,1,1
2150,0,2,30,2,0,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1
2820,0,2,36,4,0,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1
3060,0,2,48,2,3,1,4,4,3,1,4,1,28,3,2,2,3,1,1,1
2600,0,1,18,2,3,1,3,4,3,1,4,4,65,3,3,2,3,1,1,1
5003,0,4,21,0,0,5,3,1,2,1,4,2,29,1,2,2,3,1,2,1
6288,0,2,60,2,6,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1
2538,0,4,24,3,0,1,5,4,3,1,4,3,47,3,2,2,2,2,1,1
1478,0,4,9,2,3,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1
4933,0,2,39,4,3,1,4,2,3,3,2,1,25,3,2,2,3,1,1,1
1530,0,4,18,4,0,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1
1437,0,2,9,1,0,2,4,2,3,1,3,4,29,3,2,1,3,1,1,1
1275,0,1,15,2,4,5,3,4,2,1,2,3,24,3,1,1,3,1,1,1
1823,0,1,24,2,3,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1
1422,0,1,9,2,0,1,2,3,3,1,2,4,27,3,3,1,4,1,2,1
1217,0,1,18,2,4,1,3,4,4,1,3,1,47,3,2,1,2,1,2,1
9271,0,1,36,2,0,1,4,2,3,1,1,3,24,3,2,1,3,1,2,1
2145,0,1,36,3,9,1,4,2,3,1,1,3,24,3,2,2,3,1,2,1
1842,0,1,36,2,0,1,2,4,2,1,4,3,34,3,2,1,3,1,2,1
4297,0,2,18,3,2,1,5,4,1,1,3,4,40,3,2,1,4,1,2,1
3384,0,1,6,4,2,1,3,1,1,1,4,1,44,3,1,1,4,1,2,1
1245,0,2,18,4,3,1,3,4,4,1,2,3,33,3,2,1,3,1,1,1
4623,0,4,15,2,6,2,3,3,3,1,2,2,40,3,2,1,4,1,2,1
8386,0,2,30,4,2,1,4,2,3,1,2,2,49,3,2,1,3,1,1,1
1024,0,1,24,3,3,1,2,4,4,1,4,1,48,2,2,1,3,1,1,1
14318,0,2,36,2,0,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1
433,0,2,6,1,6,4,2,4,2,1,2,2,24,1,1,1,3,2,1,1
2149,0,1,12,1,3,1,3,4,1,1,1,4,29,3,3,1,3,1,1,1
2397,0,4,24,2,3,3,5,3,3,1,2,3,35,1,2,2,3,1,2,1
931,0,2,6,1,0,2,2,1,2,1,1,2,32,2,2,1,2,1,1,1
1512,0,2,15,3,5,4,3,3,4,1,3,2,61,2,2,2,3,1,1,1
4241,0,2,24,0,9,1,3,1,3,1,4,1,36,3,2,3,2,1,2,1
4736,0,2,24,4,2,1,2,2,2,1,4,3,25,1,2,1,2,1,1,1
1778,0,2,15,0,0,1,2,2,2,1,1,1,26,3,1,2,1,1,1,1
2327,0,3,15,2,3,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1
6872,0,1,24,1,2,1,2,2,1,1,1,2,55,1,2,1,3,1,2,1
795,0,1,12,2,6,1,2,4,2,1,4,2,53,3,2,1,3,1,1,1
1908,0,3,30,3,9,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1
1953,0,2,36,0,9,1,5,4,3,1,4,4,61,3,3,1,4,1,2,1
2864,0,3,18,2,2,1,3,2,3,1,1,1,34,3,2,1,2,2,1,1
2319,0,3,21,4,6,1,2,2,1,1,1,3,33,3,1,1,3,1,1,1
915,0,1,24,2,0,5,5,4,2,1,2,3,29,1,2,1,3,1,1,1
947,0,3,24,2,0,1,4,4,3,1,3,4,38,1,3,1,3,2,1,1
1381,0,1,24,2,0,5,3,4,2,1,2,2,35,3,2,1,3,1,1,1
1285,0,1,24,2,0,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1
1371,0,1,24,2,0,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1
1042,0,2,18,2,0,5,3,4,2,1,2,2,33,3,2,1,3,1,1,1
900,0,1,12,2,0,5,3,4,4,1,2,3,23,3,2,1,3,1,1,1
1207,0,1,24,2,0,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1
2278,0,2,18,0,0,2,2,3,2,1,3,3,28,3,2,2,3,1,1,1
6836,0,1,60,3,9,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1
3345,0,1,24,2,2,1,5,4,3,1,2,2,39,3,1,1,4,1,2,1
1198,0,1,6,1,6,1,5,4,2,1,4,4,35,3,3,1,3,1,1,1
15672,0,2,48,2,9,1,3,2,3,1,2,3,23,3,2,1,3,1,2,1
7297,0,1,60,2,9,1,5,4,3,2,4,4,36,3,1,1,3,1,1,1
1943,0,4,18,2,5,1,2,4,2,1,4,1,23,3,2,1,3,1,1,1
3190,0,1,18,2,3,1,3,2,2,1,2,1,24,3,2,1,3,1,1,1
5129,0,2,9,1,1,1,5,2,2,1,4,4,74,1,3,1,4,2,2,1
1808,0,4,18,3,2,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1
1240,0,3,10,2,0,2,5,1,2,1,4,4,48,3,3,1,2,2,1,1
759,0,1,12,2,0,1,4,4,3,1,2,1,26,3,2,1,3,1,1,1
1237,0,2,8,2,2,1,3,3,2,1,4,1,24,3,2,1,3,1,1,1
1980,0,4,9,2,2,1,2,2,2,2,2,3,19,3,1,2,3,1,1,1
10961,0,2,48,2,3,4,4,1,3,2,2,4,27,1,2,2,3,1,2,1
6887,0,1,36,3,6,1,3,4,3,1,3,2,29,2,2,1,3,1,2,1
1938,0,1,24,2,3,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1
1835,0,1,21,2,3,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1
1659,0,1,24,3,3,1,2,4,2,1,2,3,29,3,1,1,2,1,2,1
1209,0,2,6,3,0,1,1,4,3,1,4,2,47,3,2,1,4,1,2,1
3844,0,2,48,0,9,2,4,4,3,1,4,4,34,3,3,1,2,2,1,1
4843,0,1,12,4,0,1,5,3,3,2,4,2,43,3,1,2,3,1,2,1
639,0,2,12,2,5,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1
5951,0,2,48,2,3,1,3,2,2,1,2,1,22,3,2,1,3,1,1,1
3804,0,2,36,0,3,1,3,4,2,1,1,3,42,3,2,1,3,1,2,1
4463,0,4,36,3,3,1,3,4,3,1,2,3,26,3,2,2,4,1,2,1
7980,0,4,36,3,9,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1
4210,0,3,36,2,3,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1
4611,0,4,6,2,2,1,2,1,2,1,4,2,32,3,2,1,3,1,1,1
11560,0,2,24,2,1,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1
4165,0,4,18,0,9,1,3,2,3,1,2,3,36,2,2,2,3,2,1,1
4057,0,2,24,2,2,1,4,3,1,1,3,3,43,3,2,1,3,1,2,1
6458,0,4,18,1,0,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1
1386,0,4,12,2,0,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1
1977,0,1,36,2,6,5,5,4,3,1,4,4,40,3,2,1,4,1,2,1
1928,0,2,18,4,2,1,2,2,3,1,2,1,31,3,2,2,2,1,1,1
1123,0,4,12,2,2,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1
11328,0,2,24,2,10,1,3,2,3,2,3,3,29,1,2,2,4,1,2,1
11938,0,2,24,4,10,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1
2520,0,2,27,4,3,3,3,4,3,1,2,2,23,3,2,2,2,1,1,1
1919,0,2,30,3,3,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1
14782,0,2,60,1,10,2,5,3,2,1,4,4,60,1,3,2,4,1,2,1
2671,0,2,36,2,3,2,3,4,2,2,4,4,50,3,3,1,3,1,1,1
12612,0,2,36,2,6,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1
3031,0,2,45,2,3,2,3,4,3,3,4,2,21,3,1,1,3,1,1,1
626,0,1,12,1,3,1,3,4,2,1,4,1,24,1,2,1,2,1,1,1
1935,0,2,24,4,9,1,5,4,1,1,4,1,31,3,2,2,3,1,2,1
1344,0,3,24,4,0,5,4,4,3,1,2,1,37,1,2,2,2,2,1,1
1533,0,4,18,2,2,1,2,4,4,2,1,2,43,3,2,1,2,2,1,1
3931,0,1,48,2,0,1,4,4,3,1,4,4,46,3,3,1,3,2,1,1
3349,0,1,24,1,2,3,2,4,3,1,4,4,30,3,3,1,3,2,2,1
2302,0,1,36,2,3,1,3,4,1,1,4,3,31,3,1,1,3,1,1,1
3965,0,1,42,2,3,1,2,4,3,1,3,3,34,3,2,1,3,1,1,1
727,0,1,12,2,3,2,2,4,4,1,3,4,33,3,2,1,2,1,2,1
3914,0,4,48,2,9,5,3,4,1,1,2,1,38,1,2,1,3,1,1,1
4308,0,1,48,2,9,1,2,3,2,1,4,2,24,3,1,1,3,1,1,1
1534,0,2,12,2,3,1,2,1,4,1,1,1,23,3,1,1,3,1,1,1
2775,0,4,18,4,0,1,4,2,3,1,2,2,31,1,2,2,3,1,1,1
5998,0,1,40,4,6,1,3,4,3,1,3,4,27,1,2,1,3,1,2,1
1271,0,3,15,4,3,5,3,3,3,1,4,4,39,3,3,2,3,1,2,1
1295,0,2,12,2,0,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1
9398,0,2,36,2,1,1,2,1,4,1,4,3,28,3,1,1,4,1,2,1
951,0,2,12,2,2,2,2,4,2,1,4,3,27,1,1,4,3,1,1,1
1355,0,2,24,2,0,1,2,3,2,1,4,3,25,3,2,1,2,1,2,1
3051,0,1,48,2,4,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1
7855,0,4,36,4,0,1,3,4,2,1,2,1,25,2,2,2,3,1,2,1
433,0,4,18,2,3,1,1,3,2,2,4,1,22,3,1,1,3,1,1,1
9572,0,4,36,3,9,1,2,1,1,1,1,3,28,3,2,2,3,1,1,1
1837,0,2,24,1,6,1,4,4,2,1,4,4,34,1,3,1,2,1,1,1
4249,0,2,30,4,0,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
5234,0,2,30,4,0,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
6758,0,1,48,2,3,1,3,3,2,1,2,3,31,3,2,1,3,1,2,1
1366,0,1,9,2,3,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1
1358,0,1,24,1,10,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1
2473,0,1,18,2,2,1,1,4,3,1,1,3,25,3,2,1,1,1,1,1
1337,0,3,9,0,3,1,2,4,3,1,2,3,34,3,2,2,4,1,2,1
7763,0,1,48,2,0,1,5,4,3,1,4,4,42,1,3,1,4,1,1,1
1264,0,2,15,1,0,2,3,2,4,1,2,2,25,3,1,1,3,1,1,1
2631,0,2,15,2,0,2,3,2,2,1,4,3,28,3,1,2,3,1,2,1
6560,0,2,48,2,0,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1
3123,0,1,24,2,0,1,2,4,2,1,1,2,27,3,2,1,3,1,1,1
8065,0,1,36,4,6,1,3,3,2,1,2,4,25,3,2,2,4,1,2,1
2439,0,1,24,2,3,1,2,4,2,1,4,1,35,3,2,1,3,1,2,1
9034,0,2,36,2,2,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1
14027,0,2,60,2,0,1,4,4,3,1,2,4,27,3,2,1,4,1,2,1
9629,0,1,36,4,1,1,4,4,3,1,4,3,24,3,2,2,3,1,2,1
1484,0,2,12,2,3,5,3,2,4,1,1,1,25,3,2,1,3,1,2,1
1131,0,1,18,2,2,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1
2064,0,2,24,3,2,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1
12976,0,2,18,2,1,1,1,3,2,1,4,4,38,3,3,1,4,1,2,1
2580,0,4,21,3,9,3,2,4,3,1,2,1,41,1,2,1,2,2,1,1
2570,0,4,27,2,0,1,3,3,2,1,3,1,21,3,1,1,3,1,1,1
3915,0,2,27,2,9,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1
1309,0,4,10,2,0,5,3,4,3,3,4,2,27,3,2,1,2,1,1,1
4817,0,1,24,2,0,1,4,2,3,2,3,2,31,3,2,1,3,1,2,1
2579,0,1,12,2,0,1,2,4,3,1,1,1,33,3,2,1,2,2,1,1
2225,0,2,36,3,0,1,5,4,3,1,4,4,57,1,3,2,3,1,2,1
4153,0,1,18,2,2,1,3,2,3,2,3,3,42,3,2,1,3,1,1,1
3114,0,1,18,0,2,1,2,1,2,1,4,2,26,3,1,1,3,1,1,1
2124,0,1,18,4,2,1,3,4,2,1,4,1,24,3,1,2,3,1,1,1
1553,0,1,18,1,2,1,3,4,3,1,3,3,44,1,2,1,3,1,1,1
2406,0,1,30,2,2,1,4,4,2,1,4,1,23,3,1,1,3,1,1,1
1333,0,1,24,3,0,1,1,4,3,1,2,1,43,3,3,2,3,2,1,1
7119,0,1,48,0,2,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
4870,0,1,24,3,0,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
691,0,1,12,4,0,1,5,4,3,1,3,2,35,3,2,2,3,1,1,1
4370,0,1,42,3,3,1,4,3,3,1,2,2,26,1,2,2,3,2,2,1
2746,0,1,36,1,2,1,5,4,3,1,4,3,31,1,2,1,3,1,1,1
4110,0,1,24,0,2,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1
2462,0,1,18,2,2,1,3,2,3,1,2,3,22,3,2,1,3,1,1,1
1282,0,1,12,2,2,1,3,2,2,1,4,3,20,3,1,1,3,1,1,1
2969,0,2,12,0,2,1,2,4,2,1,3,2,25,3,1,2,3,1,1,1
4605,0,1,48,0,1,1,5,3,3,1,4,4,24,3,3,2,3,2,1,1
6331,0,1,48,4,1,1,5,4,3,1,4,4,46,3,3,2,3,1,2,1
3552,0,1,24,1,2,1,4,3,3,1,4,3,27,1,2,1,3,1,1,1
697,0,1,12,1,0,1,2,4,3,1,2,3,46,1,2,2,3,1,2,1
1442,0,1,24,2,0,1,4,4,2,1,4,3,23,3,1,2,3,1,1,1
5293,0,1,27,0,9,1,1,2,3,1,4,2,50,3,2,2,3,1,2,1
3414,0,1,21,3,6,1,2,2,3,1,1,2,26,2,2,2,3,1,1,1
2039,0,1,18,2,2,1,3,1,2,1,4,1,20,3,1,1,3,1,1,1
3161,0,1,24,1,9,1,3,4,3,1,2,2,31,1,1,1,3,1,2,1
902,0,1,12,2,8,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1
10297,0,1,48,2,1,1,4,4,3,1,4,4,39,3,3,3,3,2,2,1
14421,0,2,48,0,9,1,3,2,3,1,2,3,25,2,2,1,3,1,2,1
1056,0,2,18,4,0,1,5,3,3,3,3,1,30,3,2,2,3,1,1,1
1274,0,1,12,2,0,1,2,3,2,1,1,1,37,1,2,1,2,1,1,1
1223,0,2,12,2,0,1,5,1,1,1,1,1,46,3,1,2,3,1,1,1
1372,0,1,12,2,0,1,4,2,1,1,3,3,36,3,2,1,3,1,1,1
2625,0,1,16,4,0,1,5,2,3,3,4,2,43,3,1,1,3,1,2,2
2235,0,1,20,4,0,1,3,4,4,3,2,2,33,1,1,2,3,1,1,2
959,0,2,9,2,2,1,3,1,2,1,2,3,29,1,2,1,3,1,1,1
884,0,2,18,4,0,1,5,4,3,1,4,3,36,3,2,1,3,2,2,1
1246,0,2,24,2,0,1,2,4,3,1,2,1,23,1,2,1,2,1,1,1
8086,0,2,36,3,0,2,5,2,3,1,4,3,42,2,2,4,4,1,2,1
10127,0,4,48,4,0,3,3,2,3,1,2,4,44,3,3,1,3,1,1,1
888,0,2,12,2,0,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1
719,0,4,12,2,6,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1
12389,0,2,36,2,0,5,3,1,3,1,4,4,37,1,3,1,3,1,2,1
709,0,1,12,2,3,1,5,4,3,1,4,1,57,3,2,1,2,1,1,1
6850,0,2,15,1,0,2,1,1,3,1,2,2,34,2,2,1,4,2,2,1
2210,0,4,10,2,2,1,3,2,3,1,2,1,25,3,1,1,2,1,1,1
7485,0,4,30,1,1,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1
1442,0,1,18,1,0,1,4,4,3,1,4,4,32,1,3,2,2,2,1,1
797,0,4,12,4,3,5,5,4,2,1,3,2,33,3,2,1,2,2,1,1
4746,0,2,45,4,3,1,2,4,3,1,2,2,24,1,2,2,2,1,1,1
939,0,3,12,4,0,3,4,4,4,1,2,1,28,3,2,3,3,1,2,1
1188,0,2,21,2,9,1,5,2,2,1,4,2,39,3,2,1,3,2,1,1
11590,0,4,48,4,1,2,3,2,2,1,4,3,24,3,1,2,2,1,1,1
609,0,3,12,1,9,1,2,4,2,1,1,1,26,1,2,1,1,1,1,1
1190,0,1,18,4,5,1,1,2,2,1,4,4,55,3,3,3,1,2,1,1
2767,0,2,21,2,9,2,5,4,1,1,2,3,61,3,1,2,2,1,1,1
3441,0,2,30,2,2,2,3,2,2,2,4,3,21,1,1,1,3,1,1,1
4280,0,2,30,0,9,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1
3092,0,2,24,2,3,2,2,3,4,1,2,3,22,3,1,1,3,1,2,1
6761,0,4,18,2,0,5,3,2,3,1,4,3,68,2,1,2,3,1,1,1
1331,0,2,12,2,3,1,2,2,3,1,1,3,22,3,2,1,3,1,1,1
15945,0,2,54,0,9,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1
3234,0,1,24,2,2,1,2,4,2,1,4,1,23,3,1,1,2,1,2,1
802,0,2,15,2,3,1,5,4,3,1,3,3,37,3,2,1,3,2,1,1
9960,0,2,48,2,2,1,2,1,2,1,2,3,26,1,2,1,3,1,2,1
8648,0,4,24,3,9,1,2,2,3,1,2,3,27,1,2,2,3,1,2,1
1345,0,1,18,2,3,1,3,4,4,1,3,1,26,3,2,1,3,1,1,1
1845,0,1,45,2,3,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1
1647,0,1,21,1,0,5,3,4,3,1,2,2,40,1,2,2,2,2,1,1
4844,0,4,48,2,9,1,1,3,3,1,2,3,33,3,1,1,4,1,2,1
8318,0,2,27,0,9,1,5,2,2,1,4,4,42,2,3,2,4,1,2,1
2100,0,3,18,2,3,1,3,4,3,2,2,1,37,3,2,1,3,1,1,1
11816,0,1,45,0,9,1,5,2,3,1,4,3,29,3,1,2,3,1,1,1
448,0,1,6,2,6,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1
11998,0,1,30,2,5,1,2,1,1,1,1,4,34,1,2,1,2,1,2,1
18424,0,2,48,0,10,1,3,1,2,1,2,2,32,1,2,1,4,1,2,2
14896,0,1,6,2,0,1,5,1,3,1,4,4,68,1,2,1,4,1,2,1
2762,0,2,12,2,2,5,5,1,2,1,2,2,25,3,2,1,3,1,2,1
3386,0,1,12,2,1,1,5,3,3,1,4,4,35,3,3,1,3,1,2,1
2039,0,2,24,2,3,1,2,1,4,1,1,2,22,3,2,1,3,1,2,1
2169,0,4,18,3,9,1,3,4,4,1,2,3,28,3,2,1,3,1,2,1
5096,0,2,48,4,2,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1
1882,0,1,18,2,3,1,3,4,2,1,4,3,25,1,1,2,3,1,1,1
6999,0,1,48,2,3,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1
2292,0,4,12,4,9,1,1,4,3,1,2,3,42,2,2,2,4,1,2,1
8978,0,1,14,2,0,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2
674,0,1,12,2,3,2,4,4,4,1,1,2,20,3,2,1,3,1,1,1
976,0,1,18,2,0,1,2,1,2,1,2,3,23,3,2,1,2,1,1,1
2718,0,2,24,2,0,1,3,3,2,1,4,2,20,3,1,1,2,1,2,1
750,0,1,18,2,6,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1
12579,0,2,24,2,1,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1
7511,0,1,18,2,1,5,5,1,3,1,4,2,51,3,3,1,3,2,2,1
3966,0,1,18,4,0,1,5,1,2,1,4,1,33,1,1,3,3,1,2,1
6199,0,1,12,0,3,1,3,4,3,1,2,2,28,3,1,2,3,1,2,1
1987,0,1,24,2,3,1,3,2,3,1,4,1,21,3,1,1,2,2,1,1
2303,0,1,24,2,0,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1
12680,0,4,21,4,0,5,5,4,3,1,4,4,30,3,3,1,4,1,2,1
6468,0,2,12,2,3,5,1,2,3,1,1,4,52,3,2,1,4,1,2,1
6350,0,1,30,2,2,5,5,4,3,1,4,2,31,3,2,1,3,1,1,1
